姓名,电话,电子邮箱,密码,用户组
张三1,15229262120,wdlycy@163.com,588777,系统管理员
张三2,15229262121,wdlycy@164.com,588778,系统管理员
张三3,15229262122,wdlycy@165.com,588779,系统管理员
张三4,15229262123,wdlycy@166.com,588780,系统管理员
张三5,15229262124,wdlycy@167.com,588781,系统管理员
张三6,15229262125,wdlycy@168.com,588782,系统管理员
张三7,15229262126,wdlycy@169.com,588783,系统管理员
张三8,15229262127,wdlycy@170.com,588784,系统管理员
张三9,15229262128,wdlycy@171.com,588785,系统管理员
张三10,15229262129,wdlycy@172.com,588786,系统管理员
张三11,15229262130,wdlycy@173.com,588787,系统管理员
张三12,15229262131,wdlycy@174.com,588788,系统管理员
张三13,15229262132,wdlycy@175.com,588789,系统管理员
张三14,15229262133,wdlycy@176.com,588790,系统管理员
张三15,15229262134,wdlycy@177.com,588791,系统管理员
张三16,15229262135,wdlycy@178.com,588792,系统管理员
张三17,15229262136,wdlycy@179.com,588793,系统管理员
张三18,15229262137,wdlycy@180.com,588794,系统管理员
张三19,15229262138,wdlycy@181.com,588795,系统管理员
张三20,15229262139,wdlycy@182.com,588796,系统管理员
